[2022-06-03T16:51:12+0000] [ALPM] installed pinentry (1.2.0-1)
[2022-06-03T16:51:13+0000] [ALPM] installed gnupg (2.2.35-1)
[2022-06-03T16:51:13+0000] [ALPM] installed pacman-mirrors (20220205-1)
[2022-06-03T16:51:13+0000] [ALPM] installed which (2.21-4)
[2022-06-03T16:51:13+0000] [ALPM] installed xz (5.2.5-2)
[2022-06-03T16:51:13+0000] [ALPM] installed zstd (1.5.2-2)
[2022-06-03T16:51:13+0000] [ALPM] installed pacman (6.0.1-15)
[2022-06-03T16:51:13+0000] [ALPM] installed db (5.3.28-3)
[2022-06-03T16:51:13+0000] [ALPM] installed libgdbm (1.23-1)
[2022-06-03T16:51:13+0000] [ALPM] installed gdbm (1.23-1)
[2022-06-03T16:51:16+0000] [ALPM] installed perl (5.32.1-2)
[2022-06-03T16:51:16+0000] [ALPM] installed pacman-contrib (1.5.1-1)
[2022-06-03T16:51:16+0000] [ALPM] installed rebase (4.5.0-2)
[2022-06-03T16:51:16+0000] [ALPM] installed time (1.9-3)
[2022-06-03T16:51:19+0000] [ALPM] installed tzcode (2022a-1)
[2022-06-03T16:51:19+0000] [ALPM] installed libutil-linux (2.35.2-1)
[2022-06-03T16:51:19+0000] [ALPM] installed util-linux (2.35.2-1)
[2022-06-03T16:51:19+0000] [ALPM] installed libgpgme (1.17.1-1)
[2022-06-03T16:51:19+0000] [ALPM] installed libpcre2_8 (10.40-1)
[2022-06-03T16:51:19+0000] [ALPM] installed wget (1.21.3-1)
[2022-06-03T16:51:19+0000] [ALPM] installed base (2020.12-1)
[2022-06-03T16:51:19+0000] [ALPM] transaction completed
[2022-06-03T16:51:19+0000] [ALPM] running 'texinfo-install.hook'...
[2023-06-01T22:10:46+0700] [PACMAN] Running 'pacman -S mingw-w64-ucrt-x86_64-gcc'
[2023-06-01T22:12:00+0700] [ALPM] transaction started
[2023-06-01T22:12:00+0700] [ALPM] installed mingw-w64-ucrt-x86_64-libiconv (1.16-2)
[2023-06-01T22:12:00+0700] [ALPM] installed mingw-w64-ucrt-x86_64-zlib (1.2.12-1)
[2023-06-01T22:12:00+0700] [ALPM] installed mingw-w64-ucrt-x86_64-binutils (2.38-2)
[2023-06-01T22:12:04+0700] [ALPM] installed mingw-w64-ucrt-x86_64-headers-git (10.0.0.r32.g89bacd2be-1)
[2023-06-01T22:12:05+0700] [ALPM] installed mingw-w64-ucrt-x86_64-crt-git (10.0.0.r32.g89bacd2be-1)
[2023-06-01T22:12:05+0700] [ALPM] installed mingw-w64-ucrt-x86_64-isl (0.24-1)
[2023-06-01T22:12:05+0700] [ALPM] installed mingw-w64-ucrt-x86_64-gmp (6.2.1-3)
[2023-06-01T22:12:05+0700] [ALPM] installed mingw-w64-ucrt-x86_64-mpfr (4.1.0.p13-1)
[2023-06-01T22:12:05+0700] [ALPM] installed mingw-w64-ucrt-x86_64-mpc (1.2.1-1)
[2023-06-01T22:12:05+0700] [ALPM] installed mingw-w64-ucrt-x86_64-libwinpthread-git (10.0.0.r32.g89bacd2be-1)
[2023-06-01T22:12:05+0700] [ALPM] installed mingw-w64-ucrt-x86_64-gcc-libs (12.1.0-2)
[2023-06-01T22:12:05+0700] [ALPM] installed mingw-w64-ucrt-x86_64-windows-default-manifest (6.4-4)
[2023-06-01T22:12:05+0700] [ALPM] installed mingw-w64-ucrt-x86_64-winpthreads-git (10.0.0.r32.g89bacd2be-1)
[2023-06-01T22:12:05+0700] [ALPM] installed mingw-w64-ucrt-x86_64-zstd (1.5.2-2)
[2023-06-01T22:12:08+0700] [ALPM] installed mingw-w64-ucrt-x86_64-gcc (12.1.0-2)
[2023-06-01T22:12:08+0700] [ALPM] transaction completed
[2023-06-01T22:15:53+0700] [PACMAN] Running 'pacman -S --needed base-devel mingw-w64-x86_64-toolchain'
[2023-06-01T22:18:16+0700] [ALPM] transaction started
[2023-06-01T22:18:16+0700] [ALPM] installed binutils (2.37-5)
[2023-06-01T22:18:16+0700] [ALPM] installed m4 (1.4.19-2)
[2023-06-01T22:18:17+0700] [ALPM] installed bison (3.8.2-3)
[2023-06-01T22:18:17+0700] [ALPM] installed diffstat (1.64-1)
[2023-06-01T22:18:17+0700] [ALPM] installed diffutils (3.8-3)
[2023-06-01T22:18:17+0700] [ALPM] installed dos2unix (7.4.2-1)
[2023-06-01T22:18:17+0700] [ALPM] installed flex (2.6.4-2)
[2023-06-01T22:18:17+0700] [ALPM] installed gperf (3.1-4)
[2023-06-01T22:18:19+0700] [ALPM] installed groff (1.22.4-3)
[2023-06-01T22:18:21+0700] [ALPM] installed texinfo (6.8-4)
[2023-06-01T22:18:21+0700] [ALPM] installed texinfo-tex (6.8-4)
[2023-06-01T22:18:21+0700] [ALPM] installed make (4.3-3)
[2023-06-01T22:18:21+0700] [ALPM] installed patch (2.7.6-1)
[2023-06-01T22:18:21+0700] [ALPM] installed pkgconf (1.8.0-1)
[2023-06-01T22:18:21+0700] [ALPM] installed tar (1.34-2)
[2023-06-01T22:18:21+0700] [ALPM] installed base-devel (2022.01-2)
[2023-06-01T22:18:21+0700] [ALPM] installed mingw-w64-x86_64-libiconv (1.16-2)
[2023-06-01T22:18:21+0700] [ALPM] installed mingw-w64-x86_64-zlib (1.2.12-1)
[2023-06-01T22:18:22+0700] [ALPM] installed mingw-w64-x86_64-binutils (2.38-2)
[2023-06-01T22:18:26+0700] [ALPM] installed mingw-w64-x86_64-headers-git (10.0.0.r32.g89bacd2be-1)
[2023-06-01T22:18:28+0700] [ALPM] installed mingw-w64-x86_64-crt-git (10.0.0.r32.g89bacd2be-1)
[2023-06-01T22:18:28+0700] [ALPM] installed mingw-w64-x86_64-isl (0.24-1)
[2023-06-01T22:18:28+0700] [ALPM] installed mingw-w64-x86_64-gmp (6.2.1-3)
[2023-06-01T22:18:28+0700] [ALPM] installed mingw-w64-x86_64-mpfr (4.1.0.p13-1)
[2023-06-01T22:18:28+0700] [ALPM] installed mingw-w64-x86_64-mpc (1.2.1-1)
[2023-06-01T22:18:28+0700] [ALPM] installed mingw-w64-x86_64-libwinpthread-git (10.0.0.r32.g89bacd2be-1)
[2023-06-01T22:18:28+0700] [ALPM] installed mingw-w64-x86_64-gcc-libs (12.1.0-2)
[2023-06-01T22:18:28+0700] [ALPM] installed mingw-w64-x86_64-windows-default-manifest (6.4-4)
[2023-06-01T22:18:28+0700] [ALPM] installed mingw-w64-x86_64-winpthreads-git (10.0.0.r32.g89bacd2be-1)
[2023-06-01T22:18:28+0700] [ALPM] installed mingw-w64-x86_64-zstd (1.5.2-2)
[2023-06-01T22:18:31+0700] [ALPM] installed mingw-w64-x86_64-gcc (12.1.0-2)
[2023-06-01T22:18:37+0700] [ALPM] installed mingw-w64-x86_64-gcc-ada (12.1.0-2)
[2023-06-01T22:18:37+0700] [ALPM] installed mingw-w64-x86_64-gcc-libgfortran (12.1.0-2)
[2023-06-01T22:18:38+0700] [ALPM] installed mingw-w64-x86_64-gcc-fortran (12.1.0-2)
[2023-06-01T22:18:38+0700] [ALPM] installed mingw-w64-x86_64-gcc-objc (12.1.0-2)
[2023-06-01T22:18:38+0700] [ALPM] installed mingw-w64-x86_64-expat (2.4.8-1)
[2023-06-01T22:18:43+0700] [ALPM] installed mingw-w64-x86_64-gettext (0.21-3)
[2023-06-01T22:18:43+0700] [ALPM] installed mingw-w64-x86_64-libtre-git (r128.6fb7206-2)
[2023-06-01T22:18:43+0700] [ALPM] installed mingw-w64-x86_64-libsystre (1.0.1-4)
[2023-06-01T22:18:55+0700] [ALPM] installed mingw-w64-x86_64-ncurses (6.3-5)
[2023-06-01T22:18:55+0700] [ALPM] installed mingw-w64-x86_64-bzip2 (1.0.8-2)
[2023-06-01T22:18:55+0700] [ALPM] installed mingw-w64-x86_64-libffi (3.3-4)
[2023-06-01T22:18:55+0700] [ALPM] installed mingw-w64-x86_64-mpdecimal (2.5.1-1)
[2023-06-01T22:18:55+0700] [ALPM] installed mingw-w64-x86_64-libtasn1 (4.18.0-1)
[2023-06-01T22:18:55+0700] [ALPM] installed mingw-w64-x86_64-p11-kit (0.24.1-2)
[2023-06-01T22:18:55+0700] [ALPM] installed mingw-w64-x86_64-ca-certificates (20211016-3)
[2023-06-01T22:19:07+0700] [ALPM] installed mingw-w64-x86_64-openssl (1.1.1.o-3)
[2023-06-01T22:19:07+0700] [ALPM] installed mingw-w64-x86_64-termcap (1.3.1-6)
[2023-06-01T22:19:07+0700] [ALPM] installed mingw-w64-x86_64-readline (8.1.001-1)
[2023-06-01T22:19:11+0700] [ALPM] installed mingw-w64-x86_64-tcl (8.6.11-5)
[2023-06-01T22:19:12+0700] [ALPM] installed mingw-w64-x86_64-sqlite3 (3.38.5-1)
[2023-06-01T22:19:13+0700] [ALPM] installed mingw-w64-x86_64-tk (8.6.11.1-2)
[2023-06-01T22:19:13+0700] [ALPM] installed mingw-w64-x86_64-xz (5.2.5-3)
[2023-06-01T22:19:17+0700] [ALPM] installed mingw-w64-x86_64-tzdata (2022a-1)
[2023-06-01T22:19:37+0700] [ALPM] installed mingw-w64-x86_64-python (3.9.13-1)
[2023-06-01T22:19:37+0700] [ALPM] installed mingw-w64-x86_64-xxhash (0.8.1-2)
[2023-06-01T22:19:37+0700] [ALPM] installed mingw-w64-x86_64-gdb (12.1-1)
[2023-06-01T22:19:37+0700] [ALPM] installed mingw-w64-x86_64-gdb-multiarch (12.1-1)
[2023-06-01T22:19:37+0700] [ALPM] installed mingw-w64-x86_64-libgccjit (12.1.0-2)
[2023-06-01T22:19:37+0700] [ALPM] installed mingw-w64-x86_64-libmangle-git (10.0.0.r32.g89bacd2be-1)
[2023-06-01T22:19:37+0700] [ALPM] installed mingw-w64-x86_64-make (4.3-1)
[2023-06-01T22:19:37+0700] [ALPM] installed mingw-w64-x86_64-pkgconf (1.8.0-2)
[2023-06-01T22:19:37+0700] [ALPM] installed mingw-w64-x86_64-tools-git (10.0.0.r32.g89bacd2be-2)
[2023-06-01T22:19:37+0700] [ALPM] installed mingw-w64-x86_64-winstorecompat-git (10.0.0.r32.g89bacd2be-1)
[2023-06-01T22:19:37+0700] [ALPM] transaction completed
[2023-06-01T22:19:37+0700] [ALPM] running 'texinfo-install.hook'...
